"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1795","TC05 - Password Case Sensitive","chromium","2026-03-23","passed","2026-03-23","","login.spec.js","",""
"","3968","TC7 - Spaces in Input","webkit","2026-03-23","passed","2026-03-23","","login.spec.js","",""
"","3552","TC05 - Password Case Sensitive","webkit","2026-03-23","passed","2026-03-23","","login.spec.js","",""
"","3434","TC10 - Clear Email Field","webkit","2026-03-23","passed","2026-03-23","","login.spec.js","",""
"","1815","TC7 - Spaces in Input","chromium","2026-03-23","passed","2026-03-23","","login.spec.js","",""
"","4141","TC04 - Invalid Email Format","webkit","2026-03-23","passed","2026-03-23","","login.spec.js","",""
"","2600","TC06 - Email Case Sensitivity","chromium","2026-03-23","passed","2026-03-23","","login.spec.js","",""
"","5914","TC08-Invalid Email shows error","webkit","2026-03-23","passed","2026-03-23","","login.spec.js","",""
"","5071","TC2-Empty login validation","chromium","2026-03-23","passed","2026-03-23","","login.spec.js","",""
"","3881","TC08-Invalid Email shows error","chromium","2026-03-23","passed","2026-03-23","","login.spec.js","",""
"","3255","TC2-Empty login validation","webkit","2026-03-23","passed","2026-03-23","","login.spec.js","",""
"","3602","TC09-Invalid pass shows error","webkit","2026-03-23","passed","2026-03-23","","login.spec.js","",""
"","4460","TC09-Invalid pass shows error","firefox","2026-03-23","passed","2026-03-23","","login.spec.js","",""
"","3740","TC10 - Clear Email Field","firefox","2026-03-23","passed","2026-03-23","","login.spec.js","",""
"","2278","TC10 - Clear Email Field","chromium","2026-03-23","passed","2026-03-23","","login.spec.js","",""
"","2486","TC04 - Invalid Email Format","firefox","2026-03-23","passed","2026-03-23","","login.spec.js","",""
"","2166","TC7 - Spaces in Input","firefox","2026-03-23","passed","2026-03-23","","login.spec.js","",""
"","3124","TC06 - Email Case Sensitivity","webkit","2026-03-23","passed","2026-03-23","","login.spec.js","",""
"","1961","TC06 - Email Case Sensitivity","firefox","2026-03-23","passed","2026-03-23","","login.spec.js","",""
"","3150","TC01 - Invalid Login","firefox","2026-03-23","passed","2026-03-23","","login.spec.js","",""
"","3818","TC09-Invalid pass shows error","chromium","2026-03-23","passed","2026-03-23","","login.spec.js","",""
"","3198","TC05 - Password Case Sensitive","firefox","2026-03-23","passed","2026-03-23","","login.spec.js","",""
"","3060","TC01 - Invalid Login","webkit","2026-03-23","passed","2026-03-23","","login.spec.js","",""
"","3670","TC03 - Invalid Email","webkit","2026-03-23","passed","2026-03-23","","login.spec.js","",""
"","4432","TC08-Invalid Email shows error","firefox","2026-03-23","passed","2026-03-23","","login.spec.js","",""
"","6268","TC01 - Invalid Login","chromium","2026-03-23","passed","2026-03-23","","login.spec.js","",""
"","2526","TC03 - Invalid Email","firefox","2026-03-23","passed","2026-03-23","","login.spec.js","",""
"","2870","TC04 - Invalid Email Format","chromium","2026-03-23","passed","2026-03-23","","login.spec.js","",""
"","4442","TC2-Empty login validation","firefox","2026-03-23","passed","2026-03-23","","login.spec.js","",""
"","1888","TC03 - Invalid Email","chromium","2026-03-23","passed","2026-03-23","","login.spec.js","",""
